Year,MonthNum,HBT,Age,Sex,Deprivation,NumberOfAttendances,Population,Rate,log_offset,Date
2021,6,S08000015,18-24,Female,1,156,4520,34.51327433628319,8.416267272826277,2021-06-01
2021,6,S08000015,18-24,Female,2,96,2842,33.77902885292048,7.952263308657046,2021-06-01
2021,6,S08000015,18-24,Female,3,46,2199,20.918599363346978,7.695757990554761,2021-06-01
2021,6,S08000015,18-24,Female,4,28,1564,17.902813299232736,7.355001921105257,2021-06-01
2021,6,S08000015,18-24,Female,5,19,1316,14.437689969604863,7.182352111885263,2021-06-01
2021,6,S08000015,18-24,Male,1,150,4528,33.12720848056537,8.41803561988302,2021-06-01
2021,6,S08000015,18-24,Male,2,72,2891,24.904877205119337,7.969357742016346,2021-06-01
2021,6,S08000015,18-24,Male,3,47,2245,20.93541202672606,7.716460800176355,2021-06-01
2021,6,S08000015,18-24,Male,4,48,1751,27.41290691033695,7.467942332285852,2021-06-01
2021,6,S08000015,18-24,Male,5,47,1492,31.501340482573728,7.307872780763706,2021-06-01
2021,6,S08000015,25-39,Female,1,334,10911,30.611309687471362,9.297526733655099,2021-06-01
2021,6,S08000015,25-39,Female,2,219,7364,29.739272134709395,8.904358542352968,2021-06-01
2021,6,S08000015,25-39,Female,3,95,5602,16.95822920385577,8.630878955820053,2021-06-01
2021,6,S08000015,25-39,Female,4,58,4149,13.979272113762352,8.330622620332868,2021-06-01
2021,6,S08000015,25-39,Female,5,31,2956,10.487144790257105,7.991592282068092,2021-06-01
2021,6,S08000015,25-39,Male,1,390,9648,40.42288557213931,9.174505918966966,2021-06-01
2021,6,S08000015,25-39,Male,2,245,6808,35.98707403055229,8.82585367025321,2021-06-01
2021,6,S08000015,25-39,Male,3,106,5383,19.691621772245963,8.591001118560957,2021-06-01
2021,6,S08000015,25-39,Male,4,55,3861,14.245014245014245,8.258681496264236,2021-06-01
2021,6,S08000015,25-39,Male,5,52,2739,18.985031033223805,7.915348169263078,2021-06-01
2021,6,S08000015,40-64,Female,1,487,19462,25.023121981296885,9.876219125381935,2021-06-01
2021,6,S08000015,40-64,Female,2,285,15000,19,9.615805480084347,2021-06-01
