_id,Month,Country,HBT,DepartmentType,Age,AgeQF,Sex,SexQF,Deprivation,DeprivationQF,NumberOfAttendances
1,201801,S92000003,S08000015,Type 1,18-24,"",Female,"",1,"",160
2,201801,S92000003,S08000015,Type 1,18-24,"",Female,"",2,"",112
3,201801,S92000003,S08000015,Type 1,18-24,"",Female,"",3,"",50
4,201801,S92000003,S08000015,Type 1,18-24,"",Female,"",4,"",39
5,201801,S92000003,S08000015,Type 1,18-24,"",Female,"",5,"",27
6,201801,S92000003,S08000015,Type 1,18-24,"",Female,"",,:,2
7,201801,S92000003,S08000015,Type 1,18-24,"",Male,"",1,"",167
8,201801,S92000003,S08000015,Type 1,18-24,"",Male,"",2,"",96
9,201801,S92000003,S08000015,Type 1,18-24,"",Male,"",3,"",45
10,201801,S92000003,S08000015,Type 1,18-24,"",Male,"",4,"",38
11,201801,S92000003,S08000015,Type 1,18-24,"",Male,"",5,"",40
12,201801,S92000003,S08000015,Type 1,25-39,"",Female,"",1,"",326
13,201801,S92000003,S08000015,Type 1,25-39,"",Female,"",2,"",186
14,201801,S92000003,S08000015,Type 1,25-39,"",Female,"",3,"",95
15,201801,S92000003,S08000015,Type 1,25-39,"",Female,"",4,"",67
16,201801,S92000003,S08000015,Type 1,25-39,"",Female,"",5,"",36
17,201801,S92000003,S08000015,Type 1,25-39,"",Female,"",,:,3
18,201801,S92000003,S08000015,Type 1,25-39,"",Male,"",1,"",362
19,201801,S92000003,S08000015,Type 1,25-39,"",Male,"",2,"",187
20,201801,S92000003,S08000015,Type 1,25-39,"",Male,"",3,"",97
21,201801,S92000003,S08000015,Type 1,25-39,"",Male,"",4,"",71
22,201801,S92000003,S08000015,Type 1,25-39,"",Male,"",5,"",50
23,201801,S92000003,S08000015,Type 1,25-39,"",Male,"",,:,4
24,201801,S92000003,S08000015,Type 1,40-64,"",Female,"",1,"",452
25,201801,S92000003,S08000015,Type 1,40-64,"",Female,"",2,"",245
26,201801,S92000003,S08000015,Type 1,40-64,"",Female,"",3,"",158
27,201801,S92000003,S08000015,Type 1,40-64,"",Female,"",4,"",114
28,201801,S92000003,S08000015,Type 1,40-64,"",Female,"",5,"",112
